GEOID,democratic,green,libertarian,republican,other,total
4001,27194,226,1177,74416,45791,148804
4002,43948,177,647,25328,35124,105224
4003,48258,416,706,16058,29968,95406
4004,37576,146,625,21533,34530,94410
4005,21657,149,715,58837,44274,125632
4006,38702,377,1167,50034,42768,133048
4007,64791,153,595,25861,33919,125319
4008,31661,134,722,32626,35744,100887
4009,49953,376,1053,37904,37706,126992
4010,47191,343,1064,39103,36790,124491
4011,38480,203,1088,55230,46459,141460
4012,33745,188,1635,73249,51031,159848
4013,30649,130,1021,52909,44043,128752
4014,31979,168,988,50868,38513,122516
4015,34123,201,1421,60353,47458,143556
4016,29534,202,1229,56870,49988,137823
4017,39810,193,1327,53424,49448,144202
4018,46441,275,1546,49344,46768,144374
4019,39007,116,700,14574,34410,88807
4020,36749,239,1343,44001,44544,126876
4021,35769,180,949,48519,44303,129720
4022,34298,157,1041,72700,49067,157263
4023,37578,165,1266,74647,54147,167803
4024,47149,335,1319,23355,37622,109780
4025,30929,213,1392,60720,44806,138060
4026,35694,317,1245,21601,37557,96414
4027,47464,170,725,13046,33680,95085
4028,41523,239,1395,49908,42624,135689
4029,34884,108,741,14614,31957,82304
4030,33700,161,733,16199,31162,81955