GEOID,democratic,green,libertarian,republican,other,total,perdem,pergop,peroth,twopar,district
4001,27194,226,1177,74416,45791,148804,18.28,50.01,31.72,0.27,1
4002,43948,177,647,25328,35124,105224,41.77,24.07,34.16,0.63,2
4003,48258,416,706,16058,29968,95406,50.58,16.83,32.59,0.75,3
4004,37576,146,625,21533,34530,94410,39.80,22.81,37.39,0.64,4
4005,21657,149,715,58837,44274,125632,17.24,46.83,35.93,0.27,5
4006,38702,377,1167,50034,42768,133048,29.09,37.61,33.31,0.44,6
4007,64791,153,595,25861,33919,125319,51.70,20.64,27.66,0.71,7
4008,31661,134,722,32626,35744,100887,31.38,32.34,36.28,0.49,8
4009,49953,376,1053,37904,37706,126992,39.34,29.85,30.82,0.57,9
4010,47191,343,1064,39103,36790,124491,37.91,31.41,30.68,0.55,10
4011,38480,203,1088,55230,46459,141460,27.20,39.04,33.76,0.41,11
4012,33745,188,1635,73249,51031,159848,21.11,45.82,33.07,0.32,12
4013,30649,130,1021,52909,44043,128752,23.80,41.09,35.10,0.37,13
4014,31979,168,988,50868,38513,122516,26.10,41.52,32.38,0.39,14
4015,34123,201,1421,60353,47458,143556,23.77,42.04,34.19,0.36,15
4016,29534,202,1229,56870,49988,137823,21.43,41.26,37.31,0.34,16
4017,39810,193,1327,53424,49448,144202,27.61,37.05,35.34,0.43,17
4018,46441,275,1546,49344,46768,144374,32.17,34.18,33.65,0.48,18
4019,39007,116,700,14574,34410,88807,43.92,16.41,39.67,0.73,19
4020,36749,239,1343,44001,44544,126876,28.96,34.68,36.36,0.46,20
4021,35769,180,949,48519,44303,129720,27.57,37.40,35.02,0.42,21
4022,34298,157,1041,72700,49067,157263,21.81,46.23,31.96,0.32,22
4023,37578,165,1266,74647,54147,167803,22.39,44.48,33.12,0.33,23
4024,47149,335,1319,23355,37622,109780,42.95,21.27,35.78,0.67,24
4025,30929,213,1392,60720,44806,138060,22.40,43.98,33.62,0.34,25
4026,35694,317,1245,21601,37557,96414,37.02,22.40,40.57,0.62,26
4027,47464,170,725,13046,33680,95085,49.92,13.72,36.36,0.78,27
4028,41523,239,1395,49908,42624,135689,30.60,36.78,32.62,0.45,28
4029,34884,108,741,14614,31957,82304,42.38,17.76,39.86,0.70,29
4030,33700,161,733,16199,31162,81955,41.12,19.77,39.11,0.68,30